facilityName;streetAdress;city;state;zipCode;publicPhone
ANCHORAGE PUBLIC LIBRARY, LOUSSAC BRANCH;3600 DENALI ST;ANCHORAGE;AK;99503;9073432975
ANCHORAGE PUBLIC LIBRARY, MOUNTAIN VIEW BRANCH;120 BRAGAW ST;ANCHORAGE;AK;99508;9073432818
ANCHORAGE PUBLIC LIBRARY, MULDOON BRANCH;1251 MULDOON RD #158;ANCHORAGE;AK;99504;9073434032
USPO - ANCHORAGE;4141 POSTMARK DR.;ANCHORAGE;AK;99519;9072663266
USPO - ANIAK;101 BOUNDARY AVE.;ANIAK;AK;99557;9076754314
CITY OF BETHEL - CITY CLERKS OFFICE;300 STATE HIGHWAY;BETHEL;AK;99559;9075431384
ALASKA COURT SYSTEM - STATE OFFICE;500 WATER ST.;CORDOVA;AK;99574;9074243378
CITY HALL OF DELTA JUNCTION;2288 DEBORAH STREET;DELTA JUNCTION;AK;99737;9078954656
UNIVERSITY OF ALASKA - BRISTOL BAY CAMPUS;527 SEWARD ST.;DILLINGHAM;AK;99576;9078425109
USPO - EAGLE RIVER;11471 BUSINESS BLVD.;EAGLE RIVER;AK;99577;9076942732
USPO - FAIRBANKS DOWNTOWN STATION;315 BARNETTE ST.;FAIRBANKS;AK;99701;9074523237
USPO - GIRDWOOD;118 LINDBLAD AVE.;GIRDWOOD;AK;99587;9077832922
HAINES BOROUGH ADMINISTRATION;103 THIRD AVE S;HAINES;AK;99827;9077666400
DENALI BOROUGH;MILE .5 HEALY SPUR ROAD;HEALY;AK;99743;9076831330
USPO - HOMER;3658 HEATH STREET;HOMER;AK;99603;9072356129
USPO - HYDER;100 HYDER AVENUE;HYDER;AK;99923;2506362662
USPO - FEDERAL BUILDING STATION;709 W. 9TH ST.;JUNEAU;AK;99801;9075867155
USPO - MENDENHALL STATION;9491 VINTAGE BLVD.;JUNEAU;AK;99801;9077890934
USPO - KENAI;140 BIDARKA ST;KENAI;AK;99611;9072837771
USPO - KETCHIKAN;3609 TONGASS AVE.;KETCHIKAN;AK;99901;9072259602
CITY OF KING COVE;289 RAM CREEK DRIVE;KING COVE;AK;99612;9074972210
USPO - KLAWOCK;6488 KLW/HOLLIS HWY #1;KLAWOCK;AK;99925;9077552977
USPO - KODIAK;419 LOWER MILL BAY ROAD;KODIAK;AK;99615;9074864721
USPO - KOTZEBUE;333 SHORE AVE.;KOTZEBUE;AK;99752;9074423291
USPO - NOME;113  W. FRONT STREET;NOME;AK;99762;9074432401
COLONY HIGH SCHOOL LIBRARY;9550 E BOGARD ROAD;PALMER;AK;99645;9078615538
USPO - PALMER;500 SOUTH COBB ST.;PALMER;AK;99645;9077455051
PETERSBURG PUBLIC LIBRARY;14 S. 2ND ST;PETERSBURG;AK;99833;9077723349
USPO - SAND POINT;9998 MAIN ST.;SAND POINT;AK;99661;9073832955
SEWARD COMMUNITY LIBRARY;239 - 6TH AVE.;SEWARD;AK;99664;9072244082
USPO - SITKA;1207 SAWMILL CREEK RD;SITKA;AK;99835;9077473381
SKAGWAY PUBLIC LIBRARY;769 STATE ST;SKAGWAY;AK;99840;9079832665
CITY OF THORNE BAY;120 FREEMAN DR;THORNE BAY;AK;99919;9078283380
USPO - TOK;HC63 MILE 1314.3 ALASKA HWY.;TOK;AK;99780;9078835880
DISTRICT COURT - UNALAKLEET;250 UVEC WAY;UNALAKLEET;AK;99684;9076243015
CITY OF UNALASKA - PUBLIC LIBRARY;64 ELEANOR DRIVE;UNALASKA;AK;99685;9075815060
PRINCE WILLIAM SOUND COMMUNITY COLLEGE;303 LOWE ST.;VALDEZ;AK;99686;9078341600
USPO - WASILLA;401 N. MAIN ST.;WASILLA;AK;99654;9073731910
USPO - WILLOW;13232 N. MCKINLEY WAY;WILLOW;AK;99688;9074956266
USPO - WRANGELL;112 FEDERAL WAY;WRANGELL;AK;99929;9078743714
